run_id,cell_id,method,dataset,seed,phase,experience_index,start_monotonic_s,end_monotonic_s,duration_s,allocated_current_bytes,allocated_peak_bytes,reserved_current_bytes,reserved_peak_bytes,quota_bytes,external_reservation_bytes,proc_rss_bytes,children_rss_bytes,proc_pss_bytes,swap_used_bytes,sampled_rss_peak_bytes,sampled_children_rss_peak_bytes,sample_interval_s,sample_count,missing_reason,notes
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,resource_transition,6,147714.05937031,147714.059826264,0.00045595402480103076,70712320,70712320,159383552,159383552,8589934592,0,2103504896,0,1883346944,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,training,6,147714.091343254,147725.954398727,11.8630554729898,70712320,121897984,159383552,159383552,8589934592,0,2099322880,0,1879164928,0,2103504896,0,0.1,73,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,evaluation,6,147726.006502681,147733.876499069,7.869996388006257,70712320,114230272,159383552,159383552,8589934592,0,2103910400,0,1883752448,0,2105483264,0,0.1,46,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,resource_transition,7,147733.906439301,147733.90688944,0.000450138992164284,70712320,70712320,159383552,159383552,8589934592,0,2103910400,0,1883752448,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,training,7,147733.938114885,147745.225381521,11.28726663600537,70712320,121897984,159383552,159383552,8589934592,0,2100441088,0,1880283136,0,2102964224,0,0.1,68,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,evaluation,7,147745.277251439,147754.240511282,8.96325984300347,70712320,114230272,159383552,159383552,8589934592,0,2107039744,0,1886881792,0,2107052032,0,0.1,52,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,resource_transition,8,147754.271626857,147754.272074737,0.00044788001105189323,70712320,70712320,159383552,159383552,8589934592,0,2107039744,0,1886881792,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,training,8,147754.304242987,147768.161167619,13.85692463198211,70712320,121897984,159383552,159383552,8589934592,0,2099834880,0,1879675904,0,2107641856,0,0.1,85,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,evaluation,8,147768.221073562,147778.326595202,10.10552164001274,70712320,114230272,159383552,159383552,8589934592,0,2104123392,0,1883965440,0,2108137472,0,0.1,59,,
effectiveness_v3_20260918T041442Z_64049f11,dev/core50_nc/plugin_cost/cost_core50_nc_b64/0,cost_core50_nc_b64,core50_nc,0,setup,,147793.812859689,147794.194059905,0.38120021601207554,1395712,1395712,2097152,2097152,8589934592,0,1349193728,0,1129054208,0,1315696640,0,0.1,1,,
effectiveness_v3_20260918T041442Z_64049f11,dev/core50_nc/plugin_cost/cost_core50_nc_b64/0,cost_core50_nc_b64,core50_nc,0,resource_transition,0,147794.214719636,147794.215144275,0.00042463900172151625,1395712,1395712,2097152,2097152,8589934592,0,1349292032,0,1129074688,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T041442Z_64049f11,dev/core50_nc/plugin_cost/cost_core50_nc_b64/0,cost_core50_nc_b64,core50_nc,0,training,0,147794.236430942,147804.497432977,10.261002034996636,70712320,182889984,264241152,264241152,8589934592,0,2120888320,0,1900654592,0,2118922240,0,0.1,72,,
