cell_id,group,dataset,method,seed,variant,status,run_id,attempt_n,elapsed_s
dev/splitcifar100/static_search_tight/search_tight_splitcifar100_b256_r2000_q160/0,static_search_tight,splitcifar100,search_tight_splitcifar100_b256_r2000_q160,0,static_search_tight,cuda_oom,effectiveness_v3_20260918T065258Z_826cd4bf,1,
dev/splitcifar100/static_search_loose/search_loose_splitcifar100_b16_r200_q320/0,static_search_loose,splitcifar100,search_loose_splitcifar100_b16_r200_q320,0,static_search_loose,completed,effectiveness_v3_20260918T065316Z_09e88ab3,1,
dev/splitcifar100/static_search_loose/search_loose_splitcifar100_b16_r2000_q320/0,static_search_loose,splitcifar100,search_loose_splitcifar100_b16_r2000_q320,0,static_search_loose,completed,effectiveness_v3_20260918T065440Z_b6aee39a,1,
dev/splitcifar100/static_search_loose/search_loose_splitcifar100_b64_r200_q320/0,static_search_loose,splitcifar100,search_loose_splitcifar100_b64_r200_q320,0,static_search_loose,completed,effectiveness_v3_20260918T065602Z_2e52079b,1,
dev/splitcifar100/static_search_loose/search_loose_splitcifar100_b64_r2000_q320/0,static_search_loose,splitcifar100,search_loose_splitcifar100_b64_r2000_q320,0,static_search_loose,completed,effectiveness_v3_20260918T065647Z_f82fb9c8,1,
dev/splitcifar100/static_search_loose/search_loose_splitcifar100_b256_r200_q320/0,static_search_loose,splitcifar100,search_loose_splitcifar100_b256_r200_q320,0,static_search_loose,cuda_oom,effectiveness_v3_20260918T065731Z_14d83092,1,
dev/splitcifar100/static_search_loose/search_loose_splitcifar100_b256_r2000_q320/0,static_search_loose,splitcifar100,search_loose_splitcifar100_b256_r2000_q320,0,static_search_loose,cuda_oom,effectiveness_v3_20260918T065739Z_9ec93436,1,
dev/core50_nc/control_2x2/control_core50_nc_O00_q160/0,control_2x2,core50_nc,control_core50_nc_O00_q160,0,control_2x2,cuda_oom,effectiveness_v3_20260918T065758Z_923243ad,1,
dev/core50_nc/control_2x2/control_core50_nc_O10_q160/0,control_2x2,core50_nc,control_core50_nc_O10_q160,0,control_2x2,cuda_oom,effectiveness_v3_20260918T065908Z_f6fddf5b,1,
dev/core50_nc/control_2x2/control_core50_nc_O01_q160/0,control_2x2,core50_nc,control_core50_nc_O01_q160,0,control_2x2,cuda_oom,effectiveness_v3_20260918T070016Z_313ede76,1,
dev/core50_nc/control_2x2/control_core50_nc_O11_q160/0,control_2x2,core50_nc,control_core50_nc_O11_q160,0,control_2x2,cuda_oom,effectiveness_v3_20260918T070126Z_72e2b9e8,1,
dev/splitcifar100/control_2x2/control_splitcifar100_O00_q160/0,control_2x2,splitcifar100,control_splitcifar100_O00_q160,0,control_2x2,completed,effectiveness_v3_20260918T070247Z_4f265e8f,1,
dev/splitcifar100/control_2x2/control_splitcifar100_O10_q160/0,control_2x2,splitcifar100,control_splitcifar100_O10_q160,0,control_2x2,cuda_oom,effectiveness_v3_20260918T070414Z_84ac12b9,1,
dev/splitcifar100/control_2x2/control_splitcifar100_O01_q160/0,control_2x2,splitcifar100,control_splitcifar100_O01_q160,0,control_2x2,completed,effectiveness_v3_20260918T070441Z_f953b85a,1,
dev/splitcifar100/control_2x2/control_splitcifar100_O11_q160/0,control_2x2,splitcifar100,control_splitcifar100_O11_q160,0,control_2x2,cuda_oom,effectiveness_v3_20260918T070608Z_9a93c0ae,1,
dev/core50_nc/dyn_reservation_probe/dyn_core50_nc_R4/0,dyn_reservation_probe,core50_nc,dyn_core50_nc_R4,0,dyn_reservation_probe,cuda_oom,effectiveness_v3_20260918T070643Z_ca7c2157,1,
dev/core50_nc/io_off/io_off_core50_nc/0,io_off,core50_nc,io_off_core50_nc,0,io_off,completed,effectiveness_v3_20260918T070802Z_9e915627,1,
dev/core50_nc/io_on/io_on_core50_nc/0,io_on,core50_nc,io_on_core50_nc,0,io_on,completed,effectiveness_v3_20260918T071131Z_f68f3c56,1,
dev/core50_nc/sensitivity/sens_thr_half_q160/0,sensitivity,core50_nc,sens_thr_half_q160,0,sensitivity,cuda_oom,effectiveness_v3_20260918T071448Z_a0c5f366,1,
dev/core50_nc/sensitivity/sens_thr_double_q160/0,sensitivity,core50_nc,sens_thr_double_q160,0,sensitivity,cuda_oom,effectiveness_v3_20260918T071559Z_e01e3443,1,
dev/core50_nc/sensitivity/sens_alpha_half_q160/0,sensitivity,core50_nc,sens_alpha_half_q160,0,sensitivity,cuda_oom,effectiveness_v3_20260918T071706Z_15ebee85,1,
dev/core50_nc/sensitivity/sens_alpha_double_q160/0,sensitivity,core50_nc,sens_alpha_double_q160,0,sensitivity,cuda_oom,effectiveness_v3_20260918T071816Z_b64b58f9,1,
dev/core50_nc/sensitivity/sens_beta_half_q160/0,sensitivity,core50_nc,sens_beta_half_q160,0,sensitivity,cuda_oom,effectiveness_v3_20260918T071926Z_2b894538,1,
dev/core50_nc/sensitivity/sens_beta_double_q160/0,sensitivity,core50_nc,sens_beta_double_q160,0,sensitivity,cuda_oom,effectiveness_v3_20260918T072035Z_faee1189,1,
dev/core50_nc/sensitivity/sens_lr_half_q160/0,sensitivity,core50_nc,sens_lr_half_q160,0,sensitivity,cuda_oom,effectiveness_v3_20260918T072142Z_620bd669,1,
dev/core50_nc/sensitivity/sens_lr_double_q160/0,sensitivity,core50_nc,sens_lr_double_q160,0,sensitivity,cuda_oom,effectiveness_v3_20260918T072252Z_cfb0717e,1,
dev/core50_nc/sensitivity/sens_delta_half_life_q160/0,sensitivity,core50_nc,sens_delta_half_life_q160,0,sensitivity,cuda_oom,effectiveness_v3_20260918T072403Z_e3878a3f,1,
dev/core50_nc/sensitivity/sens_initial_batch32_q160/0,sensitivity,core50_nc,sens_initial_batch32_q160,0,sensitivity,cuda_oom,effectiveness_v3_20260918T072509Z_1bb76c1e,1,
dev/core50_nc/sensitivity/sens_initial_replay1000_q160/0,sensitivity,core50_nc,sens_initial_replay1000_q160,0,sensitivity,cuda_oom,effectiveness_v3_20260918T072535Z_a66b8f55,1,
dev/core50_nc/sensitivity/sens_quota_loose_q320/0,sensitivity,core50_nc,sens_quota_loose_q320,0,sensitivity,completed,effectiveness_v3_20260918T072643Z_8270ed07,1,
dev/core50_nc/sensitivity/sens_quota_mid_q240/0,sensitivity,core50_nc,sens_quota_mid_q240,0,sensitivity,completed,effectiveness_v3_20260918T073910Z_ebc842d3,1,
dev/core50_nc/agem_profile/agem_static_q320/0,agem_profile,core50_nc,agem_static_q320,0,agem_profile,completed,effectiveness_v3_20260918T075205Z_4e190a1d,1,
dev/core50_nc/agem_profile/agem_adaptive_ewc_q320/0,agem_profile,core50_nc,agem_adaptive_ewc_q320,0,agem_profile,completed,effectiveness_v3_20260918T075722Z_0b1f08b5,1,
