config,experiment,dataset,variant,seed,status,run_id,P,S,online_s
configs/light24/endless/endless_ic_orion_formula_s0.yaml,L_endless,endless_ic,endless_ic_orion_formula_s0,0,completed,20260914T143208Z_light24_9f9627b7,0.9925532233684343,0.7912025837305499,16.78104211000027
configs/light24/endless/endless_il_er_static_s0.yaml,L_endless,endless_il,endless_il_er_static_s0,0,completed,20260914T143231Z_light24_d5e9bc63,0.9885748301919518,1.0034348205549883,91.15488980500231
configs/light24/endless/endless_il_orion_formula_s0.yaml,L_endless,endless_il,endless_il_orion_formula_s0,0,completed,20260914T143410Z_light24_0d0e3d60,0.9916535769662836,0.9957089778943418,86.96747289099585
configs/light24/endless/endless_wc_er_static_s0.yaml,L_endless,endless_wc,endless_wc_er_static_s0,0,completed,20260914T143545Z_light24_b1cc561d,0.9830635799354855,0.9897945261723637,102.64231023199682
configs/light24/endless/endless_wc_orion_formula_s0.yaml,L_endless,endless_wc,endless_wc_orion_formula_s0,0,completed,20260914T143735Z_light24_0aca7541,0.9751749872901894,0.9959537328176744,95.15597624400107
configs/light24/endless/endless_ic_er_static_s1.yaml,L_endless,endless_ic,endless_ic_er_static_s1,1,completed,20260914T143919Z_light24_52675fd9,0.9285418873379289,0.8191104490888005,23.019155377995048
configs/light24/endless/endless_ic_orion_formula_s1.yaml,L_endless,endless_ic,endless_ic_orion_formula_s1,1,completed,20260914T143948Z_light24_207c6986,0.9779116465863453,0.9184051922950299,19.85098281200044
configs/light24/endless/endless_il_er_static_s1.yaml,L_endless,endless_il,endless_il_er_static_s1,1,completed,20260914T144013Z_light24_95276843,0.9876768914871155,0.9915279731242423,89.02788569100085
configs/light24/endless/endless_il_orion_formula_s1.yaml,L_endless,endless_il,endless_il_orion_formula_s1,1,completed,20260914T144148Z_light24_cf6d9622,0.9896146629592562,1.0041750300172245,86.90621105000173
configs/light24/endless/endless_wc_er_static_s1.yaml,L_endless,endless_wc,endless_wc_er_static_s1,1,completed,20260914T144323Z_light24_c126a852,0.9801153958078587,0.9975447467651937,94.2940101130007
configs/light24/endless/endless_wc_orion_formula_s1.yaml,L_endless,endless_wc,endless_wc_orion_formula_s1,1,completed,20260914T144506Z_light24_700e06b0,0.9830476686328957,1.00129694676799,92.18328011499398
configs/light24/endless/endless_ic_er_static_s2.yaml,L_endless,endless_ic,endless_ic_er_static_s2,2,completed,20260914T144647Z_light24_55eeaeb5,0.9998070987654322,0.7595432850603852,24.364133701994433
configs/light24/endless/endless_ic_orion_formula_s2.yaml,L_endless,endless_ic,endless_ic_orion_formula_s2,2,completed,20260914T144717Z_light24_76c5a728,0.9737654320987654,0.7969247144106198,16.880510616996617
configs/light24/endless/endless_il_er_static_s2.yaml,L_endless,endless_il,endless_il_er_static_s2,2,completed,20260914T144739Z_light24_75b1b87c,0.9777482811753646,1.0174413948735466,89.80862340800377
configs/light24/endless/endless_il_orion_formula_s2.yaml,L_endless,endless_il,endless_il_orion_formula_s2,2,completed,20260914T144916Z_light24_fd0e58c6,0.9890539563214492,1.001529670984049,85.70742733600491
configs/light24/endless/endless_wc_er_static_s2.yaml,L_endless,endless_wc,endless_wc_er_static_s2,2,completed,20260914T145050Z_light24_76fd2bf7,0.9761768250231352,0.9909699401839333,95.19042542600073
configs/light24/endless/endless_wc_orion_formula_s2.yaml,L_endless,endless_wc,endless_wc_orion_formula_s2,2,completed,20260914T145233Z_light24_afbc1169,0.8905676061256551,1.107057440831926,86.76818752899999
configs/light24/selected/splitcifar100_s0.yaml,L_selected,splitcifar100,splitcifar100,0,completed,20260914T133410Z_light24_d81149fb,0.41690000000000005,0.7236666666666667,25.9439490520017
configs/light24/selected/splitcifar100_s1.yaml,L_selected,splitcifar100,splitcifar100,1,completed,20260914T133442Z_light24_043611d0,0.4051,0.6892222222222222,25.843445582999266
configs/light24/selected/splitcifar100_s2.yaml,L_selected,splitcifar100,splitcifar100,2,completed,20260914T133513Z_light24_ce839283,0.4448,0.6694444444444445,25.72868644099799
configs/light24/selected/core50_nc_s0.yaml,L_selected,core50_nc,core50_nc,0,completed,20260914T133544Z_light24_9475fce8,0.5228619773401127,0.7508159789035557,113.95032664099563
configs/light24/selected/core50_nc_s1.yaml,L_selected,core50_nc,core50_nc,1,completed,20260914T133744Z_light24_1a54471b,0.5233437273416329,0.7116184103302701,111.86142932700022
configs/light24/selected/core50_nc_s2.yaml,L_selected,core50_nc,core50_nc,2,completed,20260914T133942Z_light24_e0a33448,0.4916199075653432,0.7704747684274108,111.77745035100088
