experiment,variant,dataset,seed,status,run_id,P,S,online_s,learning_s_sum,evaluation_s_sum,controller_s_sum,reconfigure_s_sum,prefetch_wait_sum,prefetch_batches_sum,replay_visits_sum,new_visits_sum,memory_mib_peak,proc_rss_peak_mib,gpu_alloc_peak_mib,gpu_global_peak_mib,swap_used_peak_mib,urge_max,urge_mean,applied_batch_min,applied_batch_max,applied_replay_min,applied_replay_max,n_mode_switches,guard_nonok
L_budget,cifar100_orion_formula_128mib,splitcifar100,0,cuda_oom,20260914T134206Z_light24_132b5dc1,,,,,,,,,,,,,2043.21875,101.74072265625,1310.5625,93.01171875,,,,,,,,
L_budget,cifar100_er_static_256mib,splitcifar100,0,completed,20260914T134214Z_light24_b11d30ed,0.4806,0.5335555555555556,26.007139610002923,21.327896413989947,4.237905124980898,,,0.0,3130.0,43344.0,50000.0,129.30908203125,2106.453125,129.30908203125,1372.5625,93.01171875,,,,,,,,
L_budget,cifar100_orion_formula_256mib,splitcifar100,0,completed,20260914T134246Z_light24_b81d8cd0,0.4624,0.5526666666666666,26.959692037999048,22.284668229993258,4.237233017986,0.0004633589996956289,0.0037155530153540894,0.0,3319.0,43267.0,50000.0,125.20703125,2109.58984375,125.20703125,1372.5625,93.01171875,0.0002449716512553923,0.00023701150215427278,15.0,15.0,182.0,198.0,0.0,0.0
L_budget,cifar100_er_static_512mib,splitcifar100,0,completed,20260914T134319Z_light24_71fe52e2,0.4599999999999999,0.5497777777777778,25.441462495997257,20.843670352995105,4.153542305000883,,,0.0,3130.0,43344.0,50000.0,129.30908203125,2107.0390625,129.30908203125,1372.5625,93.01171875,,,,,,,,
L_budget,cifar100_orion_formula_512mib,splitcifar100,0,completed,20260914T134350Z_light24_1c4b8eea,0.4592,0.558888888888889,26.528818605998826,21.897994253020443,4.192443767999066,0.0005358689959393814,0.003697028005262837,0.0,3319.0,43267.0,50000.0,125.20703125,2110.4609375,125.20703125,1372.5625,93.32421875,0.0002503838853690578,0.00023525112677342942,15.0,15.0,182.0,198.0,0.0,0.0
L_budget,cifar100_er_static_128mib,splitcifar100,1,cuda_oom,20260914T134422Z_light24_bb8d9800,,,,,,,,,,,,,2048.3671875,101.74072265625,1310.5625,93.32421875,,,,,,,,
L_budget,cifar100_orion_formula_128mib,splitcifar100,1,cuda_oom,20260914T134430Z_light24_210bfc3e,,,,,,,,,,,,,2048.109375,101.74072265625,1310.5625,93.32421875,,,,,,,,
L_budget,cifar100_er_static_256mib,splitcifar100,1,completed,20260914T134438Z_light24_e30a2929,0.4692999999999999,0.5396666666666667,25.543645156998537,20.939475818013307,4.169217985006981,,,0.0,3130.0,43344.0,50000.0,129.30908203125,2106.859375,129.30908203125,1372.5625,93.32421875,,,,,,,,
L_budget,cifar100_orion_formula_256mib,splitcifar100,1,completed,20260914T134510Z_light24_715ec01c,0.4843,0.5265555555555556,27.427843351993943,22.52106010299758,4.460161021990643,0.0005085159937152639,0.004345118002675008,0.0,3319.0,43267.0,50000.0,125.20703125,2111.04296875,125.20703125,1372.5625,93.34375,0.00025139916256414647,0.00023866227735291207,15.0,15.0,182.0,198.0,0.0,0.0
L_budget,cifar100_er_static_512mib,splitcifar100,1,completed,20260914T134543Z_light24_eaab1c11,0.481,0.527,26.079834933996608,21.38453350000782,4.256936609002878,,,0.0,3130.0,43344.0,50000.0,129.30908203125,2105.5078125,129.30908203125,1372.5625,93.34375,,,,,,,,
L_budget,cifar100_orion_formula_512mib,splitcifar100,1,completed,20260914T134615Z_light24_67a58776,0.4660999999999999,0.5454444444444444,27.067040412002825,22.300290553001105,4.325218916994345,0.00048814799811225384,0.004260958994564135,0.0,3319.0,43267.0,50000.0,125.20703125,2110.97265625,125.20703125,1372.5625,93.34375,0.0002516050685243074,0.00023845215667518997,15.0,15.0,182.0,198.0,0.0,0.0
L_budget,cifar100_er_static_128mib,splitcifar100,2,cuda_oom,20260914T134647Z_light24_898228e4,,,,,,,,,,,,,2043.44140625,101.74072265625,1310.5625,93.34375,,,,,,,,
L_budget,cifar100_orion_formula_128mib,splitcifar100,2,cuda_oom,20260914T134655Z_light24_ad6fe091,,,,,,,,,,,,,2043.421875,101.74072265625,1310.5625,93.34375,,,,,,,,
L_budget,cifar100_er_static_256mib,splitcifar100,2,completed,20260914T134703Z_light24_2100696b,0.4719,0.5505555555555556,25.62820596399979,20.986506955996447,4.2049738749992684,,,0.0,3130.0,43344.0,50000.0,129.30908203125,2108.1875,129.30908203125,1372.5625,93.34375,,,,,,,,
L_budget,cifar100_orion_formula_256mib,splitcifar100,2,completed,20260914T134734Z_light24_244e9187,0.4728,0.5468888888888889,26.82333952600311,22.197828818993003,4.17848573197989,0.000485302007291466,0.005374385989853181,0.0,3319.0,43267.0,50000.0,125.20703125,2109.7109375,125.20703125,1372.5625,99.75390625,0.0002605749975094477,0.00023811674876440366,15.0,15.0,182.0,198.0,0.0,0.0
L_budget,cifar100_er_static_512mib,splitcifar100,2,completed,20260914T134807Z_light24_e0477c92,0.4863,0.5343333333333333,25.80265320900071,21.09820310899522,4.259756230996572,,,0.0,3130.0,43344.0,50000.0,129.30908203125,2108.13671875,129.30908203125,1372.5625,99.75390625,,,,,,,,
