cell_id,group,dataset,method,seed,variant,status,run_id,n_attempts,attempt_run_ids
G/core50_nc/tight/O11/2/thr_half,G,core50_nc,O11,2,thr_half,cuda_oom,effectiveness_v3_20260918T210731Z_d856d9be,1,effectiveness_v3_20260918T210731Z_d856d9be
G/core50_nc/tight/O11/0/thr_double,G,core50_nc,O11,0,thr_double,cuda_oom,effectiveness_v3_20260918T210859Z_0e7b29e8,1,effectiveness_v3_20260918T210859Z_0e7b29e8
G/core50_nc/tight/O11/1/thr_double,G,core50_nc,O11,1,thr_double,cuda_oom,effectiveness_v3_20260918T211026Z_3c3348ef,1,effectiveness_v3_20260918T211026Z_3c3348ef
G/core50_nc/tight/O11/2/thr_double,G,core50_nc,O11,2,thr_double,cuda_oom,effectiveness_v3_20260918T211153Z_27de471a,1,effectiveness_v3_20260918T211153Z_27de471a
G/core50_nc/tight/O11/0/alpha_double,G,core50_nc,O11,0,alpha_double,cuda_oom,effectiveness_v3_20260918T211318Z_814274ae,1,effectiveness_v3_20260918T211318Z_814274ae
G/core50_nc/tight/O11/1/alpha_double,G,core50_nc,O11,1,alpha_double,cuda_oom,effectiveness_v3_20260918T211445Z_7b05951c,1,effectiveness_v3_20260918T211445Z_7b05951c
G/core50_nc/tight/O11/2/alpha_double,G,core50_nc,O11,2,alpha_double,cuda_oom,effectiveness_v3_20260918T211615Z_0b43da14,1,effectiveness_v3_20260918T211615Z_0b43da14
G/core50_nc/tight/O11/0/beta_double,G,core50_nc,O11,0,beta_double,cuda_oom,effectiveness_v3_20260918T211744Z_a3a01ee6,1,effectiveness_v3_20260918T211744Z_a3a01ee6
G/core50_nc/tight/O11/1/beta_double,G,core50_nc,O11,1,beta_double,cuda_oom,effectiveness_v3_20260918T211912Z_c7d51640,1,effectiveness_v3_20260918T211912Z_c7d51640
G/core50_nc/tight/O11/2/beta_double,G,core50_nc,O11,2,beta_double,cuda_oom,effectiveness_v3_20260918T212037Z_f3306b0e,1,effectiveness_v3_20260918T212037Z_f3306b0e
G/core50_nc/tight/O11/0/lr_half,G,core50_nc,O11,0,lr_half,cuda_oom,effectiveness_v3_20260918T212204Z_4a444ddd,1,effectiveness_v3_20260918T212204Z_4a444ddd
G/core50_nc/tight/O11/1/lr_half,G,core50_nc,O11,1,lr_half,cuda_oom,effectiveness_v3_20260918T212332Z_e2c21f24,1,effectiveness_v3_20260918T212332Z_e2c21f24
G/core50_nc/tight/O11/2/lr_half,G,core50_nc,O11,2,lr_half,cuda_oom,effectiveness_v3_20260918T212457Z_5925df96,1,effectiveness_v3_20260918T212457Z_5925df96
G/core50_nc/tight/O11/0/initial_batch32,G,core50_nc,O11,0,initial_batch32,cuda_oom,effectiveness_v3_20260918T212625Z_b9468714,1,effectiveness_v3_20260918T212625Z_b9468714
